[QUOTE_UNIXTIME], [QUOTE_READTIME], [QUOTE_DATE], [QUOTE_TIME_HOURS], [UNDERLYING_LAST], [EXPIRE_DATE], [EXPIRE_UNIX], [DTE], [C_DELTA], [C_GAMMA], [C_VEGA], [C_THETA], [C_RHO], [C_VOLUME], [C_LAST], [C_SIZE], [C_BID], [C_ASK], [STRIKE], [P_BID], [P_ASK], [P_SIZE], [P_LAST], [P_DELTA], [P_GAMMA], [P_VEGA], [P_THETA], [P_RHO], [P_VOLUME], [STRIKE_DISTANCE], [STRIKE_DISTANCE_PCT]
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.7382,0.04729,0.04937,-0.73425,0.00739,1650,5.4, 17 x 5,5.3,5.4,215,0.91,0.93, 34 x 1,0.91,-0.24339,0.0498,0.04702,-0.60756,-0.00273,29349,4.2,0.019
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.61151,0.05893,0.05791,-0.87804,0.00664,3525,3.54, 43 x 245,3.5,3.6,217.5,1.6,1.65, 52 x 28,1.59,-0.38118,0.06319,0.05779,-0.77754,-0.00423,41572,1.7,0.008
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.45669,0.06405,0.05949,-0.87139,0.00471,22492,2.1, 36 x 25,2.09,2.14,220,2.73,2.8, 42 x 12,2.75,-0.54587,0.06703,0.05952,-0.80217,-0.00529,84880,0.8,0.004
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.29895,0.05806,0.05217,-0.68084,0.0032,35114,1.13, 41 x 139,1.11,1.13,222.5,4.25,4.35, 5 x 18,4.1,-0.70925,0.0599,0.05212,-0.61326,-0.00655,49907,3.3,0.015
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.17272,0.04303,0.03811,-0.4253,0.00139,81792,0.55, 7 x 88,0.54,0.55,225,6.15,6.2, 9 x 1,6,-0.85217,0.0428,0.03454,-0.31269,-0.00695,30236,5.8,0.027
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.09433,0.02751,0.02536,-0.23618,0.00144,31702,0.27, 1 x 17,0.26,0.27,227.5,8.4,8.55, 10 x 10,8.25,-0.91677,0.02437,0.02291,-0.16578,-0.00612,5975,8.3,0.038
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.0534,0.01693,0.0167,-0.13627,0.00093,63565,0.14, 9 x 80,0.14,0.15,230,10.8,10.95, 1 x 5,10.85,-0.94575,0.01125,0.01599,-0.06451,-0.0038,7716,10.8,0.049
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.03151,0.01041,0.01039,-0.08196,-0.00011,13731,0.1, 555 x 13,0.08,0.09,232.5,13.2,13.4, 1 x 10,13.25,-1,0,0,0,0,1574,13.3,0.061
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.02313,0.00726,0.00835,-0.06392,-0.0001,17503,0.07, 202 x 302,0.06,0.07,235,15.65,15.85, 12 x 10,15.54,-1,0,0,0,0,3089,15.8,0.072
1692302400, 2023-08-17 16:00, 2023-08-17,16,219.19, 2023-08-18,1692388800,1,0.01878,0.00542,0.00666,-0.05454,0.00025,7608,0.05, 243 x 367,0.05,0.06,237.5,18.15,18.3, 13 x 1,18.1,-1,0,0,0,0,729,18.3,0.084
